File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
060d7331-dd55-450b-8f33-3926035bc4d1	c9095197-dfd2-4e37-9486-edca7456f891.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PATXPY	MP2PRT-PATXPY-TTM2-A	Metastatic
0ae8f366-e646-4f92-badd-306d15eb21a8	3d7f8a66-ffb9-40c3-8165-13ce14a178ae.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PATAUM	MP2PRT-PATAUM-TTM2-A	Metastatic
f361f1a0-e356-43b8-bfa3-2d906fe2552b	846ba6c3-7e56-4d58-bfda-7b25af897f07.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAVKGZ	MP2PRT-PAVKGZ-TTM2-A	Metastatic
798703b1-2fe1-494e-90b7-6a4e44af44d0	ac7ca57e-9423-4972-a1fe-562cce89e5fc.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAYHJX	MP2PRT-PAYHJX-TTP1-A	Primary Tumor
4aea9c1e-5ab5-4906-ba3e-a6ee678f0a23	3ab21bb8-8994-4f77-8afc-9b82b888d34f.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAXVZT	MP2PRT-PAXVZT-TTM2-A	Metastatic
9c6a8f31-7add-4307-9bfb-c34570555b47	2d6d74c9-bd1b-411a-9011-f6f2e3d52290.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAWHSE	MP2PRT-PAWHSE-TTP1-A	Primary Tumor
8bb21426-b6b5-43b8-8d66-fe14f796b66f	64cd6b77-3e74-4cc6-a527-18ea85e1bfdc.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAWHSE	MP2PRT-PAWHSE-TTM2-A	Recurrent Tumor
ce15fdb6-deb4-4fad-9966-8c1839d3c516	7b08e793-35bb-464a-b6db-d83e2e860939.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PARZBT	MP2PRT-PARZBT-TTR1-A	Recurrent Tumor
9e7e1550-4c0a-4f7e-9868-14c18990be90	fff26957-c666-43e5-94c1-5e60a5f71970.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAWWUW	MP2PRT-PAWWUW-TTP1-A	Primary Tumor
2235d190-5ce2-4419-a4f6-07b2521a270f	a318c960-ff43-4441-83cb-ef6a5dd83382.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAVLIN	MP2PRT-PAVLIN-TTR1-A	Recurrent Tumor
b76ca142-48d5-41f1-b726-936e4b65575a	23bb8017-ec7d-4d3b-a755-582b6dd5da55.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAYJBH	MP2PRT-PAYJBH-TTM2-A	Recurrent Tumor
fecf386e-94d8-4ef1-975b-2bfb9cd5f01b	66fad92c-2985-4ded-b11e-3292616b2f9c.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PATILY	MP2PRT-PATILY-TTM2-A	Metastatic
a6d8c7e9-a909-4bfb-86bf-47042e967dc9	a407c995-1247-4345-8e49-cb4faef43df9.mirnaseq.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	MP2PRT-WT	MP2PRT-PAYCFB	MP2PRT-PAYCFB-TTP1-A	Primary Tumor
